City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
9,Baculin,PH,76.71,overcast clouds,7.4525,126.5842,Shovy's Cove
11,Sigli,ID,78.8,moderate rain,5.3848,95.9609,Losmen Dua Mali
12,Fortuna,US,76.19,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
14,Atuona,PF,78.31,broken clouds,-9.8,-139.0333,Villa Enata
19,Puerto Ayora,EC,75.16,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
30,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
33,Hithadhoo,MV,82.09,overcast clouds,-0.6,73.0833,Scoop Guest House
34,Bosaso,SO,89.42,broken clouds,11.2842,49.1816,Red Sea Hotel
35,Lahaina,US,83.44,broken clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
37,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
39,Sinnamary,GF,83.1,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
43,Boueni,YT,75.18,scattered clouds,-12.9025,45.0761,The feet in water
45,Kavaratti,IN,81.09,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
48,Hilo,US,84.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
49,Thai Binh,VN,78.8,light rain,20.45,106.3333,Sweden Hotel
50,Samarai,PG,79.38,moderate rain,-10.6167,150.6667,Nuli Sapi
51,Tura,IN,75.38,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
56,Tamiahua,MX,84.31,scattered clouds,21.2667,-97.45,Mission Of The Sun Hotel
57,Winnemucca,US,84.11,clear sky,40.973,-117.7357,Winners Inn Casino
58,Victoria,HK,84.38,scattered clouds,22.2855,114.1577,Mini Hotel Central
62,Half Moon Bay,US,87.91,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
63,Carutapera,BR,80.44,overcast clouds,-1.195,-46.02,Lidera
64,Butaritari,KI,82.89,broken clouds,3.0707,172.7902,Isles Sunset Lodge
67,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
68,Kapaa,US,80.19,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
78,Sao Filipe,CV,78.76,scattered clouds,14.8961,-24.4956,Hotel Xaguate
80,Bethel,US,75.65,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
84,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
90,Labuhan,ID,77.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
91,Cockburn Town,TC,84.16,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
99,Kokopo,PG,79.16,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
100,Guerrero Negro,MX,77.49,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
103,Barabai,ID,75.49,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
110,Naze,JP,77.2,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
113,Kimparana,ML,83.77,few clouds,12.8347,-4.9244,
117,Manokwari,ID,78.42,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
118,Sanghar,PK,87.87,few clouds,26.0466,68.9481,Goklani House گوکلانی ہائوس
119,Moreira Sales,BR,85.41,scattered clouds,-24.0622,-53.0069,Casa Cristo Rei
120,Bandarbeyla,SO,76.98,broken clouds,9.4942,50.8122,JABIR HOTEL
128,Ahuimanu,US,83.75,few clouds,21.4447,-157.8378,Paradise Bay Resort
130,Diego De Almagro,CL,77.11,clear sky,-26.3667,-70.05,hotel luna del desierto
133,Damietta,EG,76.89,clear sky,31.4165,31.8133,SULIMAN INN
134,Port Blair,IN,80.01,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
137,Sabha,LY,78.78,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
140,Lompoc,US,86.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
141,Mitchell,US,82.11,clear sky,43.7094,-98.0298,Kelly Inn & Suites
149,Alofi,NU,75.09,scattered clouds,-19.0595,-169.9187,Taloa Heights
152,Havelock,US,80.06,clear sky,34.8791,-76.9013,Sherwood Motel
159,Yakima,US,82.85,clear sky,46.4665,-120.6678,
160,Tangping,CN,75.97,clear sky,22.0265,111.9323,
161,Las Matas De Farfan,DO,81.57,overcast clouds,18.8731,-71.5166,Casa Uben y Yolanda
162,Elko,US,82.74,clear sky,41.0002,-115.5012,
170,Macau,MO,84.13,light rain,22.2006,113.5461,Grand Emperor Hotel
173,Luwuk,ID,76.3,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
174,Salalah,OM,79.59,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
175,Pointe-Noire,CG,78.87,broken clouds,-4.7761,11.8635,Kactus Lodge
176,Magaria,NE,83.28,clear sky,12.9983,8.9099,Chez Honorable Chapiou
177,Porto Novo,BJ,75.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
178,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
182,Bucerias,MX,87.98,scattered clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
183,Tual,ID,81.0,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
184,Acajutla,SV,83.5,scattered clouds,13.5928,-89.8275,asi es
189,Dingle,PH,75.92,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
190,Inirida,CO,83.05,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
