City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,49.89,91,100,9.22,overcast clouds
1,Georgetown,MY,5.4112,100.3354,81.9,90,20,3.0,few clouds
2,Hermanus,ZA,-34.4187,19.2345,62.8,85,29,12.75,scattered clouds
3,Hasaki,JP,35.7333,140.8333,68.4,60,100,13.65,overcast clouds
4,Busselton,AU,-33.65,115.3333,51.08,89,76,5.23,broken clouds
5,Zemio,CF,5.0314,25.1361,69.04,93,92,0.29,light rain
6,Fairbanks,US,64.8378,-147.7164,35.31,89,75,0.0,snow
7,Atbasar,KZ,51.8,68.3333,45.0,38,64,7.25,broken clouds
8,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,0.0,broken clouds
9,Baculin,PH,7.4525,126.5842,76.71,86,100,0.49,overcast clouds
10,Severo-Kurilsk,RU,50.6789,156.125,48.33,86,100,5.99,overcast clouds
11,Sigli,ID,5.3848,95.9609,78.8,81,100,3.65,moderate rain
12,Fortuna,US,40.5982,-124.1573,76.19,76,20,4.0,few clouds
13,Barrow,US,71.2906,-156.7887,27.09,93,100,6.49,overcast clouds
14,Atuona,PF,-9.8,-139.0333,78.31,77,73,19.98,broken clouds
15,Upernavik,GL,72.7868,-56.1549,21.11,69,2,5.64,clear sky
16,Oranjestad,AW,12.524,-70.027,91.35,72,20,11.01,few clouds
17,Uige,AO,-7.6087,15.0613,70.79,79,79,2.46,broken clouds
18,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,68,0,19.57,clear sky
19,Puerto Ayora,EC,-0.7393,-90.3518,75.16,84,79,9.26,broken clouds
20,Mataura,NZ,-46.1927,168.8643,41.49,93,64,5.41,broken clouds
21,Pisco,PE,-13.7,-76.2167,69.85,64,88,17.27,smoke
22,Ferme-Neuve,CA,46.7001,-75.4493,67.78,63,100,7.83,overcast clouds
23,Natal,BR,-5.795,-35.2094,81.25,78,40,17.27,scattered clouds
24,New Norfolk,AU,-42.7826,147.0587,40.75,78,33,2.77,scattered clouds
25,Gaoua,BF,10.2992,-3.2508,74.89,87,86,4.32,overcast clouds
26,Jamestown,US,42.097,-79.2353,67.32,63,90,11.5,light rain
27,Hobart,AU,-42.8794,147.3294,41.11,87,20,1.99,few clouds
28,Port Alfred,ZA,-33.5906,26.891,61.65,79,89,11.7,overcast clouds
29,Khatanga,RU,71.9667,102.5,29.28,91,95,10.27,overcast clouds
30,Avarua,CK,-21.2078,-159.775,78.85,69,75,16.11,light rain
31,Abapo,BO,-18.8333,-63.4667,91.92,21,0,12.37,clear sky
32,Yellowknife,CA,62.456,-114.3525,47.41,90,90,5.01,overcast clouds
33,Hithadhoo,MV,-0.6,73.0833,82.09,77,100,14.9,overcast clouds
34,Bosaso,SO,11.2842,49.1816,89.42,52,66,5.75,broken clouds
35,Lahaina,US,20.8783,-156.6825,83.44,80,51,7.52,broken clouds
36,Lubango,AO,-14.9172,13.4925,64.44,52,40,2.91,scattered clouds
37,Cam Ranh,VN,11.9214,109.1591,76.96,88,40,3.44,scattered clouds
38,Saskylakh,RU,71.9167,114.0833,32.58,91,100,16.69,overcast clouds
39,Sinnamary,GF,5.3833,-52.95,83.1,73,18,9.33,few clouds
40,Ponta Do Sol,PT,32.6667,-17.1,70.43,73,75,4.23,broken clouds
41,Dikson,RU,73.5069,80.5464,35.49,84,100,19.39,overcast clouds
42,Ilinskiy,RU,55.619,38.1182,49.51,100,90,4.47,light rain
43,Boueni,YT,-12.9025,45.0761,75.18,70,39,4.29,scattered clouds
44,Albany,US,42.6001,-73.9662,74.19,60,91,3.0,overcast clouds
45,Kavaratti,IN,10.5669,72.642,81.09,80,70,18.7,broken clouds
46,Rikitea,PF,-23.1203,-134.9692,73.94,76,72,15.37,broken clouds
47,Ushuaia,AR,-54.8,-68.3,44.26,57,20,19.57,light rain
48,Hilo,US,19.7297,-155.09,84.25,73,1,8.05,clear sky
49,Thai Binh,VN,20.45,106.3333,78.8,93,42,6.06,light rain
50,Samarai,PG,-10.6167,150.6667,79.38,86,78,13.62,moderate rain
51,Tura,IN,25.5198,90.2201,75.38,87,42,4.21,scattered clouds
52,Gravdal,NO,68.1214,13.5031,46.85,77,55,10.09,broken clouds
53,Cotusca,RO,48.1333,26.85,63.37,70,7,4.03,clear sky
54,Bilibino,RU,68.0546,166.4372,27.55,97,100,5.82,light snow
55,Punta Arenas,CL,-53.15,-70.9167,46.51,39,40,25.32,scattered clouds
56,Tamiahua,MX,21.2667,-97.45,84.31,60,36,9.73,scattered clouds
57,Winnemucca,US,40.973,-117.7357,84.11,11,2,12.77,clear sky
58,Victoria,HK,22.2855,114.1577,84.38,78,27,5.99,scattered clouds
59,Coihaique,CL,-45.5752,-72.0662,50.61,70,75,10.36,light intensity shower rain
60,Talara,PE,-4.5772,-81.2719,72.36,68,0,16.11,clear sky
61,Castro,BR,-24.7911,-50.0119,66.16,76,66,3.58,broken clouds
62,Half Moon Bay,US,37.4636,-122.4286,87.91,75,90,6.91,mist
63,Carutapera,BR,-1.195,-46.02,80.44,77,100,10.42,overcast clouds
64,Butaritari,KI,3.0707,172.7902,82.89,75,58,10.02,broken clouds
65,Constitucion,CL,-35.3333,-72.4167,57.58,69,29,6.69,scattered clouds
66,Vardo,NO,70.3705,31.1107,46.69,85,53,8.95,broken clouds
67,Bengkulu,ID,-3.8004,102.2655,75.29,93,100,0.72,moderate rain
68,Kapaa,US,22.0752,-159.319,80.19,73,59,4.0,moderate rain
69,Rudnichnyy,RU,59.617,52.4703,45.36,87,100,6.91,overcast clouds
70,Ahipara,NZ,-35.1667,173.1667,59.14,87,67,8.37,broken clouds
71,Sawtell,AU,-30.3833,153.1,63.19,81,97,12.66,overcast clouds
72,Aleksandrovka,UA,46.8383,32.7612,55.27,56,5,7.87,clear sky
73,Hirado,JP,33.3597,129.5531,72.36,83,51,15.88,broken clouds
74,Namibe,AO,-15.1961,12.1522,65.1,85,86,5.46,overcast clouds
75,Airai,TL,-8.9266,125.4092,57.78,89,57,1.99,broken clouds
