City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jatai,BR,2021-09-20 02:57:08,-17.8814,-51.7144,77.18,20,12,3.2
1,Huarmey,PE,2021-09-20 02:57:24,-10.0681,-78.1522,61.29,81,13,10.36
2,Kapaa,US,2021-09-20 02:57:25,22.0752,-159.319,80.58,71,83,4.0
3,Ribeira Grande,PT,2021-09-20 02:57:26,38.5167,-28.7,69.62,68,25,11.92
4,Clyde River,CA,2021-09-20 02:57:26,70.4692,-68.5914,28.54,61,85,2.68
5,Barrow,US,2021-09-20 02:57:26,71.2906,-156.7887,30.22,86,75,16.11
6,Atuona,PF,2021-09-20 02:54:56,-9.8,-139.0333,78.24,75,13,21.07
7,San Cristobal,VE,2021-09-20 02:57:27,7.7669,-72.225,73.58,97,79,1.95
8,College,US,2021-09-20 02:57:27,64.8569,-147.8028,49.59,64,75,2.3
9,Talaya,RU,2021-09-20 02:57:28,61.3833,152.75,40.33,96,100,4.12
10,Korla,CN,2021-09-20 02:56:17,41.7597,86.1469,81.46,17,0,3.36
11,Ampanihy,MG,2021-09-20 02:57:28,-24.7,44.75,57.09,85,0,8.63
12,Cape Town,ZA,2021-09-20 02:56:47,-33.9258,18.4232,59.88,82,75,4.0
13,Souillac,MU,2021-09-20 02:57:29,-20.5167,57.5167,66.58,72,20,5.75
14,Laem Sing,TH,2021-09-20 02:57:30,12.4816,102.0738,85.41,100,99,1.54
15,Rikitea,PF,2021-09-20 02:54:59,-23.1203,-134.9692,74.01,77,10,13.0
16,Tiksi,RU,2021-09-20 02:57:30,71.6872,128.8694,34.92,69,90,18.54
17,Hermanus,ZA,2021-09-20 02:55:22,-34.4187,19.2345,55.9,83,31,18.25
18,Punta Arenas,CL,2021-09-20 02:55:02,-53.15,-70.9167,41.11,70,20,18.41
19,Port Alfred,ZA,2021-09-20 02:57:31,-33.5906,26.891,57.81,88,51,11.95
20,Haines Junction,CA,2021-09-20 02:55:04,60.7522,-137.5108,55.35,41,96,3.44
21,Gwadar,PK,2021-09-20 02:57:32,25.1216,62.3254,80.6,84,16,7.0
22,Kodiak,US,2021-09-20 02:54:31,57.79,-152.4072,47.86,76,91,7.34
23,Ushuaia,AR,2021-09-20 02:57:32,-54.8,-68.3,40.66,75,75,23.02
24,Nyimba,ZM,2021-09-20 02:57:33,-14.5566,30.8149,61.54,68,0,4.03
25,Albany,US,2021-09-20 02:57:33,42.6001,-73.9662,56.73,88,0,2.82
26,Te Anau,NZ,2021-09-20 02:57:34,-45.4167,167.7167,45.07,94,100,5.55
27,Vaini,TO,2021-09-20 02:55:00,-21.2,-175.2,77.16,73,20,13.8
28,Chisinau,MD,2021-09-20 02:57:34,47.0056,28.8575,47.93,97,0,5.75
29,Tuktoyaktuk,CA,2021-09-20 02:57:35,69.4541,-133.0374,42.8,61,20,9.22
30,Baghdad,IQ,2021-09-20 02:57:35,33.3406,44.4009,75.11,41,0,4.61
31,Deputatskiy,RU,2021-09-20 02:57:36,69.3,139.9,24.78,79,100,9.8
32,Nikolskoye,RU,2021-09-20 02:55:15,59.7035,30.7861,40.89,81,100,9.04
33,Chincha Alta,PE,2021-09-20 02:57:36,-13.4099,-76.1323,59.59,81,19,3.36
34,Leningradskiy,RU,2021-09-20 02:57:37,69.3833,178.4167,28.87,83,98,17.96
35,Hithadhoo,MV,2021-09-20 02:57:38,-0.6,73.0833,83.1,72,48,6.73
36,Lorengau,PG,2021-09-20 02:54:56,-2.0226,147.2712,85.14,68,65,7.2
37,Mataura,NZ,2021-09-20 02:57:38,-46.1927,168.8643,61.48,56,78,8.72
38,Ilulissat,GL,2021-09-20 02:57:39,69.2167,-51.1,16.02,69,100,6.42
39,Esperance,AU,2021-09-20 02:57:39,-33.8667,121.9,57.04,55,19,13.02
40,Margate,GB,2021-09-20 02:57:40,51.3813,1.3862,61.3,94,100,11.41
41,Asyut,EG,2021-09-20 02:57:40,27.181,31.1837,77.18,33,0,6.08
42,Saint-Philippe,RE,2021-09-20 02:57:41,-21.3585,55.7679,63.99,80,43,12.77
43,Araouane,ML,2021-09-20 02:57:41,18.9048,-3.5265,92.73,16,1,7.4
44,Jamestown,US,2021-09-20 02:54:02,42.097,-79.2353,64.04,74,1,1.01
45,Shubarshi,KZ,2021-09-20 02:57:42,48.5872,57.1869,44.47,42,9,6.13
46,Narsaq,GL,2021-09-20 02:57:42,60.9167,-46.05,36.88,86,79,3.18
47,Kaitangata,NZ,2021-09-20 02:57:43,-46.2817,169.8464,59.0,55,95,3.47
48,Camacha,PT,2021-09-20 02:57:43,33.0833,-16.3333,68.76,73,40,8.05
49,Carballo,ES,2021-09-20 02:57:44,43.213,-8.691,58.91,91,97,5.55
50,Avarua,CK,2021-09-20 02:57:44,-21.2078,-159.775,78.85,73,40,11.5
51,Kensington,AU,2021-09-20 02:57:45,-33.9167,151.2167,82.76,22,0,17.27
52,Krasnoselkup,RU,2021-09-20 02:57:45,65.7,82.4667,39.74,89,100,10.83
53,Sumbe,AO,2021-09-20 02:57:46,-11.2061,13.8437,70.61,88,95,7.87
54,Harper,LR,2021-09-20 02:57:47,4.375,-7.7169,77.47,84,24,1.92
55,Teya,RU,2021-09-20 02:57:47,60.3778,92.6267,46.18,84,98,4.63
56,Vardo,NO,2021-09-20 02:57:48,70.3705,31.1107,43.0,75,100,25.84
57,Saskylakh,RU,2021-09-20 02:57:48,71.9167,114.0833,32.34,81,100,8.21
58,Labuhan,ID,2021-09-20 02:57:49,-6.8844,112.2051,87.28,54,5,3.76
59,Hobart,AU,2021-09-20 02:54:25,-42.8794,147.3294,53.26,63,75,5.99
60,Bluff,NZ,2021-09-20 02:55:07,-46.6,168.3333,61.81,68,98,14.43
61,Nieves,PH,2021-09-20 02:57:50,15.3274,120.9485,85.95,70,87,4.25
62,Busselton,AU,2021-09-20 02:57:50,-33.65,115.3333,58.05,53,0,13.18
